event_date,event_type,description,source,created_at
2025-12-22T16:20:25Z,launch,NASA Armstrong Advances Flight Research and Innovation in 2025,Spaceflight News API,2025-12-23T12:10:13.952849
2025-12-22T15:40:53Z,launch,"Microgravity Research Rideshare Program Launched by Genesis, Experiments from €6K to and from SSO",Spaceflight News API,2025-12-23T12:10:13.952872
2025-12-22T14:00:00Z,policy_or_corporate,It’s time to unburden space cooperation with China,Spaceflight News API,2025-12-23T12:10:13.952905
2025-12-22T13:00:00Z,other,Desert Works Propulsion expands U.S. ion propulsion capability through domestic manufacturing partnership and test capacity growth,Spaceflight News API,2025-12-23T12:10:13.952939
2025-12-22T12:30:00Z,other,Euclid’s galaxy garland,Spaceflight News API,2025-12-23T12:10:13.952961
2025-12-22T11:00:00Z,other,Holidays in Space: 25 Years of Space Station Celebrations,Spaceflight News API,2025-12-23T12:10:13.952992
2025-12-22T10:09:38Z,launch,"Japan’s H3 suffers second-stage anomaly, QZS-5 satellite lost",Spaceflight News API,2025-12-23T12:10:13.953015
2025-12-22T10:00:19Z,launch,Hungary’s 4iG to Invest $100 Million in Axiom Space,Spaceflight News API,2025-12-23T12:10:13.953041
2025-12-22T09:44:24Z,other,Europa Clipper spectrograph tracks interstellar comet 3I ATLAS,Spaceflight News API,2025-12-23T12:10:13.953078
2025-12-22T09:44:24Z,launch,Eutelsat Network Solutions to lead global rollout of Intellian OW7MP manpack SATCOM terminal,Spaceflight News API,2025-12-23T12:10:13.953102
2025-12-22T09:44:24Z,satellite_deployment,Smart modeling framework targets 6G spectrum chaos in space air and ground networks,Spaceflight News API,2025-12-23T12:10:13.953132
2025-12-22T09:44:24Z,launch,PUNCH mission delivers sweeping new view of solar activity,Spaceflight News API,2025-12-23T12:10:13.953156
2025-12-22T09:44:24Z,launch,Proba-3 mission closes gap in inner solar corona monitoring,Spaceflight News API,2025-12-23T12:10:13.953179
2025-12-22T09:44:24Z,other,"Possible ""superkilonova"" exploded not once but twice",Spaceflight News API,2025-12-23T12:10:13.953210
2025-12-22T09:44:24Z,launch,Search for life should be top science priority for first human landing on Mars report says,Spaceflight News API,2025-12-23T12:10:13.953233
2025-12-22T09:44:24Z,satellite_deployment,Leonardo DRS space radio completes first secure on orbit data transport test,Spaceflight News API,2025-12-23T12:10:13.953258
2025-12-22T09:44:24Z,policy_or_corporate,Clues to the migration path of hot Jupiters in their orbits,Spaceflight News API,2025-12-23T12:10:13.953304
2025-12-22T09:44:24Z,other,Globalstar Skydio trial validates Band n53 for public safety drone links,Spaceflight News API,2025-12-23T12:10:13.953334
2025-12-22T09:44:24Z,launch,NASA Langley begins plume surface interaction tests to support future lunar landings,Spaceflight News API,2025-12-23T12:10:13.953355
2025-12-22T06:00:15Z,launch,SpaceForest Advocates for a Permanent Launch Site in Poland,Spaceflight News API,2025-12-23T12:10:13.953377
2025-12-21T22:19:33Z,launch,"NASA loses contact with MAVEN, Perseverance continues roving around Jezero",Spaceflight News API,2025-12-23T12:10:13.953399
2025-12-21T16:03:14Z,policy_or_corporate,Isaacman emphasizes accelerating NASA programs as he takes agency’s reins,Spaceflight News API,2025-12-23T12:10:13.953427
2025-12-21T14:30:47Z,launch,Rocket Lab wraps up record launch year,Spaceflight News API,2025-12-23T12:10:13.953450
2025-12-21T11:05:00Z,other,Year in images 2025,Spaceflight News API,2025-12-23T12:10:13.953469
2025-12-21T00:15:32Z,launch,"Astronauts, launch teams practice Artemis 2 countdown",Spaceflight News API,2025-12-23T12:10:13.953488
2025-12-20T22:47:56Z,other,NASA Meets New Administrator Jared Isaacman,Spaceflight News API,2025-12-23T12:10:13.953514
2025-12-20T20:31:20Z,launch,Artemis II Crew Rehearse Launch Day Demonstration,Spaceflight News API,2025-12-23T12:10:13.953536
2025-12-20T17:02:48Z,launch,Blue Origin flies first wheelchair user to space,Spaceflight News API,2025-12-23T12:10:13.953556
2025-12-20T15:45:19Z,launch,First Wheelchair User Flies to Space,Spaceflight News API,2025-12-23T12:10:13.953577
2025-12-20T05:00:36Z,launch,Redwire Tapped to Provide Docking Mechanisms for Nyx Earth Capsule,Spaceflight News API,2025-12-23T12:10:13.953602
2025-12-20T01:19:24Z,other,Wind-Sculpted Landscapes: Investigating the Martian Megaripple ‘Hazyview’,Spaceflight News API,2025-12-23T12:10:13.953633
2025-12-20T01:16:26Z,security_event,Space Development Agency awards roughly $3.5 billion to 4 companies for 72 missile tracking and warning satellites,Spaceflight News API,2025-12-23T12:10:13.953651
2025-12-19T23:53:46Z,launch,NASA safety panel recommends review of Artemis plans,Spaceflight News API,2025-12-23T12:10:13.953674
2025-12-19T22:01:06Z,launch,Meet NASA’s Astronaut Class of 2025 – Webby Submission,Spaceflight News API,2025-12-23T12:10:13.953697
2025-12-19T20:59:50Z,security_event,Space Development Agency awards $3.5 billion in contracts for missile-tracking satellites,Spaceflight News API,2025-12-23T12:10:13.953716
2025-12-19T20:59:39Z,other,Hungary’s 4iG commits to $100 million Axiom Space investment,Spaceflight News API,2025-12-23T12:10:13.953745
2025-12-19T20:21:53Z,launch,NASA Shares SpaceX Crew-12 Assignments for Space Station Mission,Spaceflight News API,2025-12-23T12:10:13.953767
2025-12-19T19:59:20Z,launch,NASA Johnson’s 2025 Milestones,Spaceflight News API,2025-12-23T12:10:13.953791
2025-12-19T19:57:34Z,launch,NASA’s Wideband Technology Demo Proves Space Missions are Free to Roam,Spaceflight News API,2025-12-23T12:10:13.953814
2025-12-19T18:36:48Z,policy_or_corporate,ESA weighing options to address exploration funding shortfall,Spaceflight News API,2025-12-23T12:10:13.953838
2025-12-19T17:43:10Z,other,Water Droplet Science,Spaceflight News API,2025-12-23T12:10:13.953868
2025-12-19T16:30:00Z,launch,Galileo: the journey of satellites 33 and 34,Spaceflight News API,2025-12-23T12:10:13.953889
2025-12-19T16:05:00Z,other,Post-CM25 industry event online set for 14 January,Spaceflight News API,2025-12-23T12:10:13.953911
2025-12-19T16:04:35Z,other,Russia is about to do the most Russia thing ever with its next space station,Spaceflight News API,2025-12-23T12:10:13.953933
2025-12-19T15:49:00Z,other,ESA Impact 2025 - October-December,Spaceflight News API,2025-12-23T12:10:13.953956
2025-12-19T15:37:58Z,policy_or_corporate,Middle East Space Conference 2026 Returns to Muscat as a Strategic Platform for Regional Growth,Spaceflight News API,2025-12-23T12:10:13.953984
2025-12-19T15:02:37Z,other,Two space startups prove you don’t need to break the bank to rendezvous in space,Spaceflight News API,2025-12-23T12:10:13.954007
2025-12-19T14:42:45Z,other,Metrics,Spaceflight News API,2025-12-23T12:10:13.954036
2025-12-19T14:15:00Z,other,Week in images: 15-19 December 2025,Spaceflight News API,2025-12-23T12:10:13.954056
2025-12-19T14:00:00Z,launch,The hidden backbone of space security: how to keep satellites safe through proper logistics,Spaceflight News API,2025-12-23T12:10:13.954081
2025-12-19T13:47:00Z,launch,Europe’s next solid propellant rocket motor passes review,Spaceflight News API,2025-12-23T12:10:13.954099
2025-12-19T12:54:19Z,policy_or_corporate,Astrobotic secures contracts for suborbital vehicle development,Spaceflight News API,2025-12-23T12:10:13.954123
2025-12-19T12:00:00Z,satellite_deployment,Hubble Glimpses Galactic Gas Making a Getaway,Spaceflight News API,2025-12-23T12:10:13.954147
2025-12-19T11:01:57Z,launch,"Trump shifts priority to Moon mission, not Mars",Spaceflight News API,2025-12-23T12:10:13.954167
2025-12-19T11:01:57Z,launch,BlackSky accelerates Gen-3 satellite into full commercial service in three weeks,Spaceflight News API,2025-12-23T12:10:13.954187
2025-12-19T11:01:57Z,launch,NASA backs CINEMA smallsat fleet to probe Earth magnetotail,Spaceflight News API,2025-12-23T12:10:13.954208
2025-12-19T11:01:57Z,launch,LizzieSat 3 completes bus commissioning for multi mission AI operations,Spaceflight News API,2025-12-23T12:10:13.954230
2025-12-19T11:01:57Z,launch,New NASA Sensor Goes Hunting for Critical Minerals,Spaceflight News API,2025-12-23T12:10:13.954251
2025-12-19T11:01:57Z,launch,Sentinel 6B begins sea level mapping campaign,Spaceflight News API,2025-12-23T12:10:13.954271
2025-12-19T11:01:57Z,other,Laser experiment proposed to probe quantum nature of gravity,Spaceflight News API,2025-12-23T12:10:13.954300
2025-12-19T11:01:57Z,other,"""Robot, make me a chair"" robot-make-me-a-chair-in-six-prompts",Spaceflight News API,2025-12-23T12:10:13.954328
2025-12-19T11:00:00Z,policy_or_corporate,Betelgeuse and the Crab Nebula: Stellar Death and Rebirth,Spaceflight News API,2025-12-23T12:10:13.954354
2025-12-19T10:08:00Z,other,"Introducing ARIEL, a new 250 N thruster",Spaceflight News API,2025-12-23T12:10:13.954374
2025-12-19T09:00:00Z,other,Dwarf stars in a glittering sky,Spaceflight News API,2025-12-23T12:10:13.954393
2025-12-19T09:00:00Z,other,Earth from Space: Manicouagan crater,Spaceflight News API,2025-12-23T12:10:13.954411
2025-12-19T09:00:00Z,other,Webb: Dwarf stars in a glittering sky,Spaceflight News API,2025-12-23T12:10:13.954430
2025-12-19T05:00:45Z,launch,ICEYE and Rheinmetall Win €1.7 Billion German Armed Forces Contract,Spaceflight News API,2025-12-23T12:10:13.954455
2025-12-19T04:00:00Z,other,Space Station Research Supports New FDA-Approved Cancer Therapy,Spaceflight News API,2025-12-23T12:10:13.954485
2025-12-19T02:50:13Z,policy_or_corporate,Trump Issues Executive Order to Ensure U.S. Space Superiority,Spaceflight News API,2025-12-23T12:10:13.954510
2025-12-19T01:51:15Z,other,How to pick the right web testing framework for your project,Spaceflight News API,2025-12-23T12:10:13.954538
2025-12-19T01:51:15Z,policy_or_corporate,The Quantum Age will be Powered by Fusion,Spaceflight News API,2025-12-23T12:10:13.954567
2025-12-19T01:30:38Z,launch,"Curiosity Blog, Sols 4743-4749:  Polygons in the Hollow",Spaceflight News API,2025-12-23T12:10:13.954588
2025-12-18T23:15:58Z,policy_or_corporate,Trump signs sweeping executive order to assert U.S. dominance in space,Spaceflight News API,2025-12-23T12:10:13.954615
2025-12-18T23:15:31Z,security_event,What problem is charging for Space Situational Awareness supposed to solve?,Spaceflight News API,2025-12-23T12:10:13.954636
2025-12-18T23:05:42Z,other,"Trump commits to Moon landing by 2028, followed by a lunar outpost two years later",Spaceflight News API,2025-12-23T12:10:13.954658
2025-12-18T21:52:17Z,launch,Moon Mascot: NASA Artemis II ZGI Design Challenge,Spaceflight News API,2025-12-23T12:10:13.954681
2025-12-18T21:33:03Z,satellite_deployment,Germany awards $1.9 billion SAR satellite deal to Rheinmetall-Iceye venture,Spaceflight News API,2025-12-23T12:10:13.954704
2025-12-18T21:00:00Z,other,NASA Announces 2025 International Space Apps Challenge Global Winners,Spaceflight News API,2025-12-23T12:10:13.954734
2025-12-18T19:44:16Z,launch,"Rocket Lab launches 4 novel DiskSat satellites for U.S. Space Force, NASA",Spaceflight News API,2025-12-23T12:10:13.954754
2025-12-18T19:26:40Z,launch,NASA Lab Completes Engine Checks on New Aircraft,Spaceflight News API,2025-12-23T12:10:13.954777
2025-12-18T19:00:42Z,policy_or_corporate,NASA’s Hubble Sees Asteroids Colliding at Nearby Star for First Time,Spaceflight News API,2025-12-23T12:10:13.954807
2025-12-18T19:00:00Z,policy_or_corporate,Hubble sees asteroids colliding around nearby star,Spaceflight News API,2025-12-23T12:10:13.954838
2025-12-18T19:00:00Z,other,"NASA, Boeing Test How to Improve Performance of Longer, Narrower Aircraft Wings",Spaceflight News API,2025-12-23T12:10:13.954869
2025-12-18T17:56:48Z,launch,NASA’s SPHEREx Observatory Completes First Cosmic Map Like No Other,Spaceflight News API,2025-12-23T12:10:13.954891
2025-12-18T17:56:33Z,other,NASA Welcomes 15th Administrator Jared Isaacman,Spaceflight News API,2025-12-23T12:10:13.954923
2025-12-18T17:15:47Z,policy_or_corporate,HawkEye 360 expands defense footprint with acquisition of Innovative Signal Analysis,Spaceflight News API,2025-12-23T12:10:13.954947
2025-12-18T17:11:28Z,launch,Atlas V Leo 4 Turns the Page,Spaceflight News API,2025-12-23T12:10:13.954966
2025-12-18T17:01:07Z,launch,A Look Back at NASA Stennis in 2025,Spaceflight News API,2025-12-23T12:10:13.954992
2025-12-18T17:00:00Z,other,342nd Council: Media information session,Spaceflight News API,2025-12-23T12:10:13.955019
2025-12-18T16:40:02Z,policy_or_corporate,2025 Science Activation Opportunity,Spaceflight News API,2025-12-23T12:10:13.955049
2025-12-18T16:36:14Z,policy_or_corporate,Payroll,Spaceflight News API,2025-12-23T12:10:13.955078
2025-12-18T16:20:55Z,policy_or_corporate,2025 in Review: Highlights from NASA in Silicon Valley,Spaceflight News API,2025-12-23T12:10:13.955106
2025-12-18T16:00:29Z,launch,NASA’s DiskSat Technology Demo Launches to Low Earth Orbit,Spaceflight News API,2025-12-23T12:10:13.955129
2025-12-18T16:00:00Z,policy_or_corporate,Congress’s SBIR standoff is slowing Space Force innovation — it must act now,Spaceflight News API,2025-12-23T12:10:13.955163
2025-12-18T15:19:50Z,other,NASA eClips STEM Student Ambassadors Shine at STEM Exploration Community Event,Spaceflight News API,2025-12-23T12:10:13.955194
2025-12-18T15:19:21Z,launch,NASA Astronaut Lee Morin to Retire After 30 Years of Innovation,Spaceflight News API,2025-12-23T12:10:13.955217
2025-12-18T15:15:11Z,other,NASA’s Fermi Spots Young Star Cluster Blowing Gamma-Ray Bubbles,Spaceflight News API,2025-12-23T12:10:13.955247
2025-12-18T13:49:42Z,other,Senate confirms Jared Isaacman as 15th NASA Administrator,Spaceflight News API,2025-12-23T12:10:13.955271
2025-12-18T13:27:42Z,other,2025 was “almost a watershed year” for the Space Development Agency,Spaceflight News API,2025-12-23T12:10:13.955299
2025-12-18T13:00:00Z,security_event,The Army’s contribution to joint space operations,Spaceflight News API,2025-12-23T12:10:13.955318
2025-12-18T12:15:17Z,other,Space community celebrates Isaacman confirmation,Spaceflight News API,2025-12-23T12:10:13.955345
2025-12-18T12:00:22Z,launch,"Ten years ago, SpaceX turned tragedy into triumph with a historic rocket landing",Spaceflight News API,2025-12-23T12:10:13.955363
2025-12-18T07:51:09Z,launch,AAC Clyde Space Secures Funding for INFLECION Satellite Constellation,Spaceflight News API,2025-12-23T12:10:13.955387
2025-12-18T04:03:35Z,other,Titan interior study points to thick slushy ice shell instead of global ocean,Spaceflight News API,2025-12-23T12:10:13.955417
2025-12-18T04:03:35Z,other,Thorium 229 nuclei driven by laser in opaque solid moves optical nuclear clock research forward,Spaceflight News API,2025-12-23T12:10:13.955447
2025-12-18T04:03:35Z,other,Philosopher argues AI consciousness may remain unknowable,Spaceflight News API,2025-12-23T12:10:13.955475
2025-12-18T04:03:35Z,satellite_deployment,Galaxy mergers light up fastest growing black holes,Spaceflight News API,2025-12-23T12:10:13.955499
2025-12-18T04:03:35Z,other,Billionaire Trump nominee confirmed to lead NASA amid Moon race,Spaceflight News API,2025-12-23T12:10:13.955528
2025-12-18T04:03:35Z,other,Perseverance rover cleared for long distance Mars exploration,Spaceflight News API,2025-12-23T12:10:13.955556
2025-12-18T04:03:35Z,launch,Sandia centrifuge campaign clears NASA VIPER rover for lunar launch,Spaceflight News API,2025-12-23T12:10:13.955576
2025-12-18T04:03:35Z,other,Evolution study finds history and environment shifts can steer species in very different directions,Spaceflight News API,2025-12-23T12:10:13.955606
2025-12-18T04:03:35Z,other,Origami style lunar rover wheel expands to climb steep caves,Spaceflight News API,2025-12-23T12:10:13.955635
2025-12-18T04:03:35Z,policy_or_corporate,Galactic Slots: Space-Themed Games with Out-of-This-World Bonus Features,Spaceflight News API,2025-12-23T12:10:13.955660
2025-12-18T04:03:35Z,launch,Europe's Ariane 6 rocket puts EU navigation satellites in orbit,Spaceflight News API,2025-12-23T12:10:13.955680
2025-12-18T04:03:35Z,launch,NASA CubeSat puts dual micropropulsion systems through orbital trial,Spaceflight News API,2025-12-23T12:10:13.955701
2025-12-18T04:03:35Z,launch,Southern Launch to Host Lux Aeterna Re-Entries South Australia,Spaceflight News API,2025-12-23T12:10:13.955721
2025-12-18T00:25:02Z,other,Hi ya! Hyha,Spaceflight News API,2025-12-23T12:10:13.955748
2025-12-18T00:19:11Z,other,NASA finally—and we really do mean it this time—has a full-time leader,Spaceflight News API,2025-12-23T12:10:13.955769
2025-12-17T23:07:07Z,other,Isaacman Confirmed as 15th NASA Administrator,Spaceflight News API,2025-12-23T12:10:13.955794
2025-12-17T22:52:37Z,launch,"Northrop Grumman tests fast-developed SMART motor, looks ahead to future applications",Spaceflight News API,2025-12-23T12:10:13.955815
2025-12-17T21:57:07Z,other,Things to come: Important bellwethers for space exploration in 2026,Spaceflight News API,2025-12-23T12:10:13.955846
2025-12-17T21:03:43Z,other,Senate confirms Isaacman as NASA administrator,Spaceflight News API,2025-12-23T12:10:13.955871
2025-12-17T18:31:26Z,launch,NASA’s Perseverance Mars Rover Ready to Roll for Miles in Years Ahead,Spaceflight News API,2025-12-23T12:10:13.955893
2025-12-17T18:04:03Z,launch,Lux Aeterna to land first reusable satellite in Australia,Spaceflight News API,2025-12-23T12:10:13.955912
2025-12-17T17:29:09Z,satellite_deployment,Massive Stars Make Their Mark in Hubble Image,Spaceflight News API,2025-12-23T12:10:13.955937
2025-12-17T17:25:10Z,launch,NASA’s Two-in-One Satellite Propulsion Demo Begins In-Space Test,Spaceflight News API,2025-12-23T12:10:13.955959
2025-12-17T16:05:26Z,launch,NASA’s Push Toward Commercial Space Communications Gains Momentum,Spaceflight News API,2025-12-23T12:10:13.955981
2025-12-17T16:01:00Z,launch,NASA Study Suggests Saturn’s Moon Titan May Not Have Global Ocean,Spaceflight News API,2025-12-23T12:10:13.956002
2025-12-17T15:36:20Z,launch,New Landsat Science Team Announced,Spaceflight News API,2025-12-23T12:10:13.956022
2025-12-17T14:58:09Z,launch,NASA Langley Research Center: 2025 Year in Review,Spaceflight News API,2025-12-23T12:10:13.956044
2025-12-17T14:53:44Z,launch,Arab Satellite 813 launch deepens UAE China space partnership,Spaceflight News API,2025-12-23T12:10:13.956064
2025-12-17T14:53:44Z,policy_or_corporate,ALMA completes band two receiver chain with low noise amplifiers,Spaceflight News API,2025-12-23T12:10:13.956092
2025-12-17T14:53:44Z,launch,JPL puts Blue Ghost Mission 2 lunar stack through launch stress tests,Spaceflight News API,2025-12-23T12:10:13.956112
2025-12-17T14:53:44Z,policy_or_corporate,What General Contractors Must Know About AI-Powered Estimating Software,Spaceflight News API,2025-12-23T12:10:13.956136
2025-12-17T14:53:44Z,policy_or_corporate,HiRISE camera aboard Mars Reconnaissance Orbiter passes 100000 image milestone,Spaceflight News API,2025-12-23T12:10:13.956165
2025-12-17T14:53:44Z,launch,Carruthers observatory returns first ultraviolet views of Earth and Moon,Spaceflight News API,2025-12-23T12:10:13.956186
2025-12-17T14:53:44Z,launch,DiskSat flat satellite platform targets high power missions and very low Earth orbit,Spaceflight News API,2025-12-23T12:10:13.956206
2025-12-17T14:53:44Z,other,Supernova at edge of observable universe spotted by James Webb Space Telescope,Spaceflight News API,2025-12-23T12:10:13.956236
2025-12-17T14:31:44Z,policy_or_corporate,"Speed, risk, and the future of national security space",Spaceflight News API,2025-12-23T12:10:13.956261
2025-12-17T14:00:00Z,launch,Max Space unveils plans for commercial space station,Spaceflight News API,2025-12-23T12:10:13.956280
2025-12-17T14:00:00Z,policy_or_corporate,What Germany got right (and wrong) in its first ever space strategy,Spaceflight News API,2025-12-23T12:10:13.956308
2025-12-17T13:45:00Z,launch,Proba-3 fills the solar observation gap,Spaceflight News API,2025-12-23T12:10:13.956330
2025-12-17T12:58:46Z,launch,Ariane 6 launches Galileo navigation satellites,Spaceflight News API,2025-12-23T12:10:13.956349
2025-12-17T10:00:00Z,launch,Galileo’s first Ariane 6 launch strengthens European resilience,Spaceflight News API,2025-12-23T12:10:13.956369
2025-12-17T10:00:00Z,launch,Galileo L14 launch highlights,Spaceflight News API,2025-12-23T12:10:13.956389
2025-12-17T08:00:00Z,satellite_deployment,OQ Technology links commercial IoT chipset to LEO satellite,Spaceflight News API,2025-12-23T12:10:13.956411
2025-12-17T06:00:00Z,other,Europe at night from space,Spaceflight News API,2025-12-23T12:10:13.956430
2025-12-17T05:02:00Z,launch,Galileo L14 liftoff on Ariane 6,Spaceflight News API,2025-12-23T12:10:13.956454
2025-12-17T05:01:00Z,other,A Siberian Snowman in Billings,Spaceflight News API,2025-12-23T12:10:13.956476
2025-12-17T05:00:20Z,launch,ESA Member States Fund €100M Ariane 6 ASTRIS Kick Stage Evolution,Spaceflight News API,2025-12-23T12:10:13.956500
2025-12-17T03:01:46Z,launch,Live coverage: SpaceX to fly Starlink mission using Falcon 9 booster flying for a 30th time,Spaceflight News API,2025-12-23T12:10:13.956519
2025-12-17T00:15:09Z,launch,Rocket Lab set to launch Space Force and NASA ‘DiskSat’ experiment,Spaceflight News API,2025-12-23T12:10:13.956538
2025-12-16T23:30:48Z,security_event,Digantara raises $50 million to expand from space surveillance to missile defense,Spaceflight News API,2025-12-23T12:10:13.956556
2025-12-16T23:14:15Z,launch,Live coverage: SpaceX preps sunrise Starlink from Kennedy Space Center,Spaceflight News API,2025-12-23T12:10:13.956575
2025-12-16T21:57:58Z,launch,"Launch Roundup: Ariane 6, Falcon 9, Atlas V, and Electron launches highlight busy week",Spaceflight News API,2025-12-23T12:10:13.956595
2025-12-16T21:23:13Z,other,NASA IXPE’s Longest Observation Solves Black Hole Jets Mystery,Spaceflight News API,2025-12-23T12:10:13.956624
2025-12-16T21:01:46Z,launch,NASA Launches Research Program for Students to Explore Big Ideas,Spaceflight News API,2025-12-23T12:10:13.956644
2025-12-16T20:35:35Z,launch,Through Astronaut Eyes: 25 Years of Life in Orbit,Spaceflight News API,2025-12-23T12:10:13.956666
2025-12-16T19:48:18Z,launch,"NASA Ignites New Golden Age of Exploration, Innovation in 2025",Spaceflight News API,2025-12-23T12:10:13.956688
2025-12-16T19:45:41Z,satellite_deployment,How Small Is Too Small? Volunteers Help NASA Test Lake Monitoring From Space,Spaceflight News API,2025-12-23T12:10:13.956709
2025-12-16T19:43:07Z,launch,NASA JPL Shakes Things Up Testing Future Commercial Lunar Spacecraft,Spaceflight News API,2025-12-23T12:10:13.956730
2025-12-16T17:27:30Z,other,Peekaboo!,Spaceflight News API,2025-12-23T12:10:13.956758
2025-12-16T16:28:12Z,other,Toxicology and Environmental Chemistry,Spaceflight News API,2025-12-23T12:10:13.956786
2025-12-16T16:14:41Z,launch,Statistics and Data Science,Spaceflight News API,2025-12-23T12:10:13.956808
2025-12-16T16:00:00Z,policy_or_corporate,"One of NASA’s Key Cameras Orbiting Mars Takes 100,000th Image",Spaceflight News API,2025-12-23T12:10:13.956836
2025-12-16T15:59:54Z,launch,Maintaining the Gold Standard: The Future of Landsat Calibration and Validation,Spaceflight News API,2025-12-23T12:10:13.956857
2025-12-16T15:48:01Z,launch,Microbiology,Spaceflight News API,2025-12-23T12:10:13.956879
2025-12-16T15:36:27Z,launch,Immunology and Virology,Spaceflight News API,2025-12-23T12:10:13.956901
2025-12-16T15:35:20Z,policy_or_corporate,Exposure Guidelines (SMACs and SWEGs),Spaceflight News API,2025-12-23T12:10:13.956930
2025-12-16T15:33:59Z,policy_or_corporate,What’s Next for HLS,Spaceflight News API,2025-12-23T12:10:13.956953
2025-12-16T15:01:14Z,policy_or_corporate,How the Space Force trains Guardians for the future of warfare,Spaceflight News API,2025-12-23T12:10:13.956980
2025-12-16T15:00:00Z,policy_or_corporate,NASA’s Webb Observes Exoplanet Whose Composition Defies Explanation,Spaceflight News API,2025-12-23T12:10:13.957008
2025-12-16T14:51:46Z,other,NASA ORBIT Challenge 2026,Spaceflight News API,2025-12-23T12:10:13.957038
2025-12-16T14:30:00Z,launch,NASA’s Carruthers Geocorona Observatory Reveals ‘First Light’ Images,Spaceflight News API,2025-12-23T12:10:13.957060
2025-12-16T14:30:00Z,launch,"NASA’s IMAP Mission Captures ‘First Light,’ Looks Back at Earth",Spaceflight News API,2025-12-23T12:10:13.957082
2025-12-16T14:00:00Z,launch,First image from Sentinel-6B extends sea-level legacy,Spaceflight News API,2025-12-23T12:10:13.957101
2025-12-16T14:00:00Z,policy_or_corporate,Trump’s national security strategy ignores space,Spaceflight News API,2025-12-23T12:10:13.957132
2025-12-16T14:00:00Z,launch,"NASA, Partners Share First Data From New US-European Sea Satellite",Spaceflight News API,2025-12-23T12:10:13.957154
2025-12-16T13:30:00Z,policy_or_corporate,Vantor partners with Niantic Spatial on GPS-free navigation for defense market,Spaceflight News API,2025-12-23T12:10:13.957177
2025-12-16T13:00:00Z,satellite_deployment,EraDrive raises $5.3 million for software-hardware kits to enhance satellite autonomy,Spaceflight News API,2025-12-23T12:10:13.957205
2025-12-16T12:06:59Z,launch,SpaceX claims close approach to Starlink satellite by payload from Chinese launch,Spaceflight News API,2025-12-23T12:10:13.957226
2025-12-16T11:17:01Z,launch,"China launches experimental cargo spacecraft, opaque tech demo mission and remote sensing satellite",Spaceflight News API,2025-12-23T12:10:13.957247
2025-12-16T11:04:07Z,launch,GoMars model simulates Martian dust storms to improve mission safety,Spaceflight News API,2025-12-23T12:10:13.957270
2025-12-16T11:04:07Z,launch,Can scientists detect life without knowing what it looks like,Spaceflight News API,2025-12-23T12:10:13.957292
2025-12-16T11:04:07Z,launch,Musk signals plan to launch IPO for SpaceX,Spaceflight News API,2025-12-23T12:10:13.957313
2025-12-16T11:04:07Z,launch,GoMars model simulates Martian dust storms to improve mission safety,Spaceflight News API,2025-12-23T12:10:13.957335
2025-12-16T11:04:07Z,launch,Southern Launch to host INNOSPACE missions from South Australian spaceports,Spaceflight News API,2025-12-23T12:10:13.957356
2025-12-16T11:04:07Z,launch,Can scientists detect life without knowing what it looks like,Spaceflight News API,2025-12-23T12:10:13.957378
