id,title,summary,news_site,published_at,updated_at
34118,What’s Up: November 2025 Skywatching Tips from NASA,"Mars and Mercury cozy up, the Leonids sparkle, and Saturn’s rings are…disappearing?  Mars and Mercury get close for a conjunction, the Leonid meteor shower delights, and Saturn’s rings are…disappearing? Skywatching Highlights Transcript Mars and Mercury have a cozy conjunction, the Leonid meteor shower delights, and Saturn’s rings are…disappearing? That’s What’s Up for November. Conjunction: Mars […]",NASA,2025-11-20T19:31:11Z,2025-11-20T20:10:05.939639Z
34113,Blue Origin says it’s just getting started with the New Glenn rocket,"""The iterative design from our current 7x2 vehicle means we can build this rocket quickly.""",Arstechnica,2025-11-20T18:06:41Z,2025-11-20T18:10:04.746160Z
34114,NASA Fuels Discovery from Earth to Sky: One Crayon at a Time,"A collaboration between the NASA Earth Science Education Collaborative (NESEC) and Earth to Sky (ETS) – an exciting, growing partnership between NASA, the National Park Service, and other federal, state, and local organizations – is facilitating the implementation of a simple, yet incredibly effective activity that will help millions of national park visitors connect with […]",NASA,2025-11-20T17:51:01Z,2025-11-20T18:10:05.741643Z
34111,NASA Progresses Toward Artemis II Moon Mission,"As 2026 nears, NASA continues moving forward to launching and flying Artemis II, the first crewed mission under the Artemis campaign, no later than April next year. NASA’s Orion spacecraft, complete with its launch abort system escape tower, is now integrated with the SLS (Space Launch System) rocket in the Vehicle Assembly Building (VAB) at […]",NASA,2025-11-20T17:24:25Z,2025-11-20T17:30:06.788928Z
34112,Space Force roadmap set to define what the service needs and why,"
Chief of Space Operations Gen. Chance Saltzman says work on the service’s “objective force” analysis is nearly complete, publication likely in 2026
The post Space Force roadmap set to define what the service needs and why appeared first on SpaceNews.",SpaceNews,2025-11-20T17:22:11Z,2025-11-20T17:30:21.986845Z
34109,NASA’s Quesst Mission Marks X-59’s Historic First Flight,"NASA’s X-59 quiet supersonic research aircraft took off for its historic first flight on Oct. 28 at 11:14 a.m. EDT from Lockheed Martin Skunk Works in Palmdale, California. The one-of-a-kind aircraft flew for 67 minutes before landing and taxiing to NASA’s Armstrong Flight Research Center in Edwards, California. NASA test pilot Nils Larson flew the […]",NASA,2025-11-20T17:18:56Z,2025-11-20T17:20:06.763809Z
34110,"NASA, Aerospace Corporation Study Sharpens Focus on Ammonia Emissions","The pungent gas contributes to fine airborne particulate pollution, which endangers human health when inhaled and absorbed in the bloodstream.  A recent study led by scientists at NASA’s Jet Propulsion Laboratory in Southern California and the nonprofit Aerospace Corporation shows how high-resolution maps of ground-level ammonia plumes can be generated with airborne sensors, highlighting a […]",NASA,2025-11-20T17:18:31Z,2025-11-20T17:20:06.789946Z
34108,Blue Origin announce upgrades to New Glenn ahead of Flight 3,"Blue Origin has unveiled upgrades to its New Glenn rocket, aimed at boosting payload capacity,…
The post Blue Origin announce upgrades to New Glenn ahead of Flight 3 appeared first on NASASpaceFlight.com.",NASASpaceflight,2025-11-20T17:02:18Z,2025-11-20T17:10:13.058730Z
34107,Atlas V delivers ViaSat-3 F2,"At 10:04 PM Eastern Time on the night of November 13th, a United Launch Alliance Atlas V rocket lifted off",Space Scout,2025-11-20T16:56:12Z,2025-11-20T17:00:23.860735Z
34106,X-59 First Flight Media Resources,"​Media Contact Quesst Media Lead: Kristen Hatfield, 757-817-5522 First Flight Videos First Flight Highlight Reel (1:43) First Flight Extended B-Roll (7:39) Articles NASA’s X-59 Completes First Flight, Prepares for More Flight Testing First Flight Images More X-59 imagery is available in NASA’s Quesst Image Gallery Historical Resources Taxi Test B-Roll X-59 reveal Biographies Peter Coen Cathy Bahm […]",NASA,2025-11-20T16:42:53Z,2025-11-20T16:50:08.075422Z
34103,I Am Artemis: Ethan Jacobs,"Listen to this audio excerpt from Ethan Jacobs, a helicopter pilot and member of the Colorado Army National Guard developing a foundational flight training course for Artemis astronauts: High above the Rocky Mountains, Ethan Jacobs is helping NASA preparing to land people on the Moon for the first time in more than 50 years. NASA […]",NASA,2025-11-20T16:05:44Z,2025-11-20T16:10:06.712817Z
34104,New Citizen Science Proposals Funded in 2025,"NASA has selected 10 new citizen science proposals for funding in 2025. These selections provide a preview of what’s coming next for NASA citizen science. Note that these investigations are research grants: some of them will result in new opportunities for the public, while others will analyze or build on results from earlier citizen science projects.",NASA,2025-11-20T15:38:03Z,2025-11-20T16:10:06.738807Z
34105,NASA’s TESS Spacecraft Triples Size of Pleiades Star Cluster,"Astronomers have revolutionized our understanding of a collection of stars in the northern sky called the Pleiades. They used data from NASA’s TESS (Transiting Exoplanet Survey Satellite) and other observatories as NASA explores the secrets of the universe for the benefit of all, from the Moon to Mars and beyond. By examining the rotation, chemistry, […]",NASA,2025-11-20T15:10:22Z,2025-11-20T16:10:06.752754Z
34102,NASA Stennis Engineer Follows Family Footsteps into NASA’s Artemis Era,"Huy Nguyen grew up hearing about rocket engines and space flight around the family table. His parents worked for NASA’s Michoud Assembly Facility in New Orleans, and those early conversations eventually started his path to NASA’s Stennis Space Center near Bay St. Louis, Mississippi. “They both created a household that allowed me to be curious […]",NASA,2025-11-20T15:00:00Z,2025-11-20T15:10:06.420332Z
34116,NASA’s Roman Could Bring New Waves of Information on Galaxy’s Stars,Lee esta nota de prensa en español aqui. A team of researchers has confirmed stars ring loud and clear in a “key” that will harmonize well with the science goals and capabilities of NASA’s upcoming Nancy Grace Roman Space Telescope. Stars’ turbulent natures produce waves that cause fluctuations in their overall brightness. By studying these […],NASA,2025-11-20T15:00:00Z,2025-11-20T19:50:05.796024Z
34101,Voyager Technologies acquires Estes Energetics,"
The deal strengthens domestic access to energetics and propellants at a time of rising demand for munitions 
The post Voyager Technologies acquires Estes Energetics appeared first on SpaceNews.",SpaceNews,2025-11-20T14:00:00Z,2025-11-20T14:10:23.903946Z
34100,The ultimate backup: why humanity needs a lunar seed vault — now,"
Humanity is losing the genetic diversity that sustains life on Earth at a pace that should alarm every nation. According to the UN Food and Agriculture Organization, about 75% of the world’s crop varieties have disappeared in the last century. According to Marie Haga, former Executive Director of the Global Crop Trust, it’s closer to […]
The post The ultimate backup: why humanity needs a lunar seed vault — now appeared first on SpaceNews.",SpaceNews,2025-11-20T14:00:00Z,2025-11-20T14:10:23.800602Z
34099,The Exploration Company Acquires German Additive Manufacturing Company,"In-space transportation startup The Exploration Company has acquired German additive manufacturing firm Thrustworks to expand its production capacity and unlock new commercial revenue streams. Founded in 2023, Thrustworks Additive Manufacturing produces high-performance metal components for space and defence applications. It offers end-to-end manufacturing capabilities, including design optimisation, printing, and post-processing. According to the company, it […]
The post The Exploration Company Acquires German Additive Manufacturing Company appeared first on European Spaceflight.",European Spaceflight,2025-11-20T13:46:52Z,2025-11-20T13:50:13.885770Z
34098,ESA awards excellent suppliers,The European Space Agency (ESA) brings public and ESA-wide recognition of the outstanding performance of European companies working in the frame of ESA programmes and projects.,ESA,2025-11-20T13:05:00Z,2025-11-20T13:20:12.992311Z
34097,Smile approved for launch in spring 2026,"Smile has passed its qualification and flight acceptance review, meaning that it meets all requirements for launch. The launch window has been set for 8 April to 7 May 2026.",ESA,2025-11-20T13:00:00Z,2025-11-20T13:00:17.079456Z
