id,title,summary,news_site,published_at,updated_at,source
34970,Ariane 6 and Vega C P160C Booster Upgrade Fully Qualified,"The European Space Agency has completed the qualification review of the P160C solid-fuel booster upgrade for Ariane 6 and Vega C, confirming that it is ready for operational use. The booster is expected to be used for the first time next year aboard an Ariane 6 rocket. In March 2022, ESA announced that it would […]
The post Ariane 6 and Vega C P160C Booster Upgrade Fully Qualified appeared first on European Spaceflight.",European Spaceflight,2025-12-23T05:00:26Z,2025-12-23T07:01:46.567059Z,Spaceflight News API
34977,"Long March 12A reaches orbit in first reusable launch attempt, but landing fails","A first launch of the Long March 12A Chinese state-owned reusable rocket reached orbit late Monday, but attempted recovery of the first stage downrange failed. 
The post Long March 12A reaches orbit in first reusable launch attempt, but landing fails appeared first on SpaceNews.",SpaceNews,2025-12-23T04:57:45Z,2025-12-23T06:57:42.776158Z,Spaceflight News API
34963,"Curiosity Blog, Sols 4750-4762: See You on the Other Side of the Sun","Written by Lucy Thompson, Planetary Scientist and APXS team member, University of New Brunswick, Canada Earth planning date: Monday, Dec. 22, 2025 As we all prepare for the holiday season here on Earth, we have been planning a few last activities before Curiosity and the team of scientists and engineers take a well-deserved, extended break. […]",NASA,2025-12-23T01:37:40Z,2025-12-23T06:57:35.314310Z,Spaceflight News API
34971,Launch Roundup: International launches fill manifest during last full week of 2025,"The last full week of 2025 will be a busy one, with nine launches scheduled…
The post Launch Roundup: International launches fill manifest during last full week of 2025 appeared first on NASASpaceFlight.com.",NASASpaceflight,2025-12-23T01:00:10Z,2025-12-23T06:59:31.891418Z,Spaceflight News API
34974,"Tory Bruno Leaves ULA, John Elbon Takes Over As Interim CEO","The owners of the United Launch Alliance rocket company announced today that CEO Tory Bruno has left the company to pursue another opportunity. In the surprise statement, Lockheed Martin and […]",SpacePolicyOnline.com,2025-12-22T23:53:48Z,2025-12-23T05:53:41.759176Z,Spaceflight News API
34964,Sentinels in the Sky: 50 Years of GOES Satellite Observations,"Introduction In an era where satellite observations of Earth are commonplace, it’s easy to forget that only a few decades ago, the amount of information available about the state of Earth’s environment was limited; observations were infrequent and data were sparsely located. As far back as the late 1950s, there were primitive numerical weather prediction […]",NASA,2025-12-22T20:55:06Z,2025-12-23T06:57:23.355955Z,Spaceflight News API
34972,Tory Bruno Steps Down as ULA CEO following impressive tenure,"United Launch Alliance (ULA), jointly owned by Boeing and Lockheed Martin, announced today that President…
The post Tory Bruno Steps Down as ULA CEO following impressive tenure appeared first on NASASpaceFlight.com.",NASASpaceflight,2025-12-22T20:38:26Z,2025-12-23T05:53:40.157830Z,Spaceflight News API
34965,Keeping Up with PACE: Summary of the 2025 PAC3 Meeting,"Introduction Launched in Feb. 2024, NASA’s Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) mission is a cornerstone of Earth system science designed to deepen our understanding of how these environmental and biological components come together to influence our climate, carbon cycle, and ecosystems. PACE has funded three supporting components: the PACE Postlaunch Airborne eXperiment (PACE–PAX), the […]",NASA,2025-12-22T19:57:58Z,2025-12-23T06:57:17.676092Z,Spaceflight News API
34975,"H3 rocket suffers upper stage anomaly, fails to correctly deploy navigation satellite",The Dec. 22 launch was the fourth and final flight of an H3 rocket in 2025.,Spaceflight Now,2025-12-22T19:50:38Z,2025-12-23T06:57:02.364686Z,Spaceflight News API
34976,"Tory Bruno steps down as President, CEO of ULA","The announcement was made by Robert Lightfoot, the ULA Lockheed Martin Board Chair, in a statement on Monday. The board now begins a search for his permanent replacement. ",Spaceflight Now,2025-12-22T19:48:21Z,2025-12-23T05:53:49.616262Z,Spaceflight News API
34966,Sentinel-6B Extends Global Ocean Height Record,"Introduction On November 16, 2025, the Sentinel-6B satellite launched from Vandenberg Space Force Base (VSFB) in California. The mission is a partnership between NASA, the National Oceanic and Atmospheric Administration (NOAA), and several European partners – the European Space Agency (ESA), the European Organisation for the Exploitation of Meteorological Satellites (EUMETSAT), the French Centre National […]",NASA,2025-12-22T19:29:23Z,2025-12-23T06:56:58.073496Z,Spaceflight News API
34978,CACI to buy space technology firm ARKA for $2.6 billion,"
Deal deepens contractor’s push into space-based sensing and optical communications. 
The post CACI to buy space technology firm ARKA for $2.6 billion appeared first on SpaceNews.",SpaceNews,2025-12-22T19:00:00Z,2025-12-23T05:53:49.787820Z,Spaceflight News API
34967,NASA Kennedy Top 20 Stories of 2025,Teams at NASA’s Kennedy Space Center in Florida spent 2025 preparing the launch vehicle and its powerhouse SLS (Space Launch System) rocket to launch four astronauts around the Moon for Artemis II in early 2026. The center also celebrated milestones by conducting science experiments at the International Space Station to studying the Sun’s solar wind […],NASA,2025-12-22T17:55:58Z,2025-12-23T05:53:33.472229Z,Spaceflight News API
34980,United Launch Alliance chief Tory Bruno resigns,"
Tory Bruno, the longtime chief executive of United Launch Alliance, is leaving the joint venture for another opportunity.
The post United Launch Alliance chief Tory Bruno resigns appeared first on SpaceNews.",SpaceNews,2025-12-22T17:52:54Z,2025-12-23T05:53:49.805245Z,Spaceflight News API
34968,A Dance of Galaxies,"NASA’s James Webb Space Telescope captured two nearby dwarf galaxies interacting with each other in this image released on Dec. 2, 2025. Dwarf galaxies can give us insights into galaxies in the early universe, which were thought to have less mass than galaxies like the Milky Way, and also contain a lot of gas, relatively […]",NASA,2025-12-22T16:26:49Z,2025-12-23T05:53:33.482172Z,Spaceflight News API
34969,NASA Armstrong Advances Flight Research and Innovation in 2025,"In 2025, NASA’s Armstrong Flight Research Center in Edwards, California, advanced work across aeronautics, Earth science, exploration technologies, and emerging aviation systems, reinforcing its role as one of the agency’s primary test sites for aeronautics research. From early concept evaluations to full flight test campaigns, teams enhanced measurement tools, refined safety systems, and generated data […]",NASA,2025-12-22T16:20:25Z,2025-12-23T05:53:33.492274Z,Spaceflight News API
34981,"Microgravity Research Rideshare Program Launched by Genesis, Experiments from €6K to and from SSO","
21 December 2025, Čakovec — Genesis Space Flight Laboratories launches its Microgravity Research Rideshare Program, making it easier and more affordable to conduct retrievable experiments in space. From now on, […]
The post Microgravity Research Rideshare Program Launched by Genesis, Experiments from €6K to and from SSO appeared first on SpaceNews.",SpaceNews,2025-12-22T15:40:53Z,2025-12-23T05:53:49.821510Z,Spaceflight News API
34982,It’s time to unburden space cooperation with China,"
The time is ripe to end the “Wolf Amendment,” a congressional bar inhibiting civil collaboration between the United States and China in space. The impetus for the law was noble — an attempt to challenge human rights conditions in China and prevent leaks of space-related technology — but in practice the ban harms our security […]
The post It’s time to unburden space cooperation with China appeared first on SpaceNews.",SpaceNews,2025-12-22T14:00:00Z,2025-12-23T05:53:49.836596Z,Spaceflight News API
34962,Desert Works Propulsion expands U.S. ion propulsion capability through domestic manufacturing partnership and test capacity growth,"
New Mexico — December 22, 2025 — Desert Works Propulsion (DWP) today announced the expansion of its domestic electric propulsion development and testing capabilities to address growing demand for advanced […]
The post Desert Works Propulsion expands U.S. ion propulsion capability through domestic manufacturing partnership and test capacity growth appeared first on SpaceNews.",SpaceNews,2025-12-22T13:00:00Z,2025-12-22T13:00:23.744237Z,Spaceflight News API
34961,Euclid’s galaxy garland,From the ESA Blogs.,ESA,2025-12-22T12:30:00Z,2025-12-23T06:56:51.788089Z,Spaceflight News API
34959,Holidays in Space: 25 Years of Space Station Celebrations,"In the quarter century that humans have lived and worked aboard the International Space Station, astronauts and visitors from around the world have celebrated countless holidays more than 250 miles above Earth while traveling 17,500 miles per hour. Crews have marked Thanksgiving, Christmas and Hanukkah, New Year’s, birthdays, and national holidays as they circle the […]",NASA,2025-12-22T11:00:00Z,2025-12-23T06:59:55.758953Z,Spaceflight News API
34958,"Japan’s H3 suffers second-stage anomaly, QZS-5 satellite lost","Japan’s flagship H3 rocket suffered an issue with its second stage late Sunday resulting in the loss of the Michibiki 5 (QZS-5) navigation satellite.
The post Japan’s H3 suffers second-stage anomaly, QZS-5 satellite lost appeared first on SpaceNews.",SpaceNews,2025-12-22T10:09:38Z,2025-12-23T06:56:43.657709Z,Spaceflight News API
34957,Hungary’s 4iG to Invest $100 Million in Axiom Space,"Budapest-based 4iG Space and Defence (4iG SDT) has committed to investing $100 million in US space infrastructure company Axiom Space. In early October, 4iG SDT and Axiom Space signed a preliminary, non-binding commitment letter to pursue a $100 million equity investment in the US space infrastructure company. At the time, 4iG SDT explained that the […]
The post Hungary’s 4iG to Invest $100 Million in Axiom Space appeared first on European Spaceflight.",European Spaceflight,2025-12-22T10:00:19Z,2025-12-22T10:10:12.449694Z,Spaceflight News API
34950,Search for life should be top science priority for first human landing on Mars report says,"Los Angeles CA (SPX) Dec 22, 2025


The search for evidence of past or present life on Mars should be the highest scientific priority for the first human missions to the planet, according to a new report from the National Academies of Sciences Engineering and Medicine that assesses long term goals for crewed exploration. 

The report concludes that human explorers offer scientific capabilities that cannot be replicated by robo",SpaceDaily,2025-12-22T09:44:24Z,2025-12-22T08:40:10.881976Z,Spaceflight News API
34947,Proba-3 mission closes gap in inner solar corona monitoring,"Berlin, Germany (SPX) Dec 19, 2025


Proba-3 has spent its first year in orbit generating more than 50 artificial solar eclipses, giving scientists sustained access to the inner solar corona that previously could only be studied intermittently during brief total eclipses on Earth. The two-satellite ESA mission is designed to supply the missing observations between the solar disc and the well-studied outer corona, and recent data co",SpaceDaily,2025-12-22T09:44:24Z,2025-12-23T06:52:41.235677Z,Spaceflight News API
34952,NASA Langley begins plume surface interaction tests to support future lunar landings,"Los Angeles CA (SPX) Dec 22, 2025


NASA's Langley Research Center has begun a new series of plume surface interaction tests aimed at improving understanding of how rocket exhaust interacts with planetary surfaces during landing and ascent operations, a critical factor for future missions to the Moon and beyond. 

When spacecraft descend toward the lunar surface, high velocity exhaust plumes from descent engines can erode soil",SpaceDaily,2025-12-22T09:44:24Z,2025-12-22T08:40:10.900932Z,Spaceflight News API
34949,Smart modeling framework targets 6G spectrum chaos in space air and ground networks,"Tokyo, Japan (SPX) Dec 16, 2025


As wireless systems evolve from 5G to 6G, engineers are working toward networks that connect satellites in orbit, airborne platforms such as drones, and dense constellations of ground devices into a single space air ground integrated network or SAGIN. This convergence creates a complex electromagnetic environment where large numbers of signals overlap and interfere, making spectrum control and p",SpaceDaily,2025-12-22T09:44:24Z,2025-12-22T08:40:10.873693Z,Spaceflight News API
34951,Leonardo DRS space radio completes first secure on orbit data transport test,"Los Angeles CA (SPX) Dec 17, 2025


Leonardo DRS, Inc. (NASDAQ: DRS) has completed the first on-orbit test of its multi-channel software-defined radio (SDR) with integrated advanced cryptography, demonstrating secure satellite data transport for U.S. military users at the tactical edge. 

The eXtended Crypto Module3-Space (XCM3-Space) adapts the company's next-generation crypto and multi-channel SDR architecture for use in spa",SpaceDaily,2025-12-22T09:44:24Z,2025-12-23T06:56:18.359666Z,Spaceflight News API
34953,Europa Clipper spectrograph tracks interstellar comet 3I ATLAS,"Los Angeles CA (SPX) Dec 19, 2025


The Southwest Research Institute-led Ultraviolet Spectrograph (UVS) aboard NASA's Europa Clipper spacecraft has obtained a key dataset on the interstellar comet 3I/ATLAS, which in July became the third officially recognized interstellar object to enter the solar system. UVS observed the comet during a period when Mars- and Earth-based facilities could not monitor it because of viewing constraint",SpaceDaily,2025-12-22T09:44:24Z,2025-12-23T06:56:26.987636Z,Spaceflight News API
34948,Clues to the migration path of hot Jupiters in their orbits,"Tokyo, Japan (SPX) Dec 16, 2025


The first exoplanet discovered in 1995 was a hot Jupiter, a Jupiter mass planet orbiting its star every few days. Today, models indicate that hot Jupiters form far from their stars, similar to Jupiter in the Solar System, and later move inward. Two main migration channels are considered: high-eccentricity migration, in which gravitational perturbations excite the orbit before tidal forces circul",SpaceDaily,2025-12-22T09:44:24Z,2025-12-23T06:53:07.269957Z,Spaceflight News API
34954,Globalstar Skydio trial validates Band n53 for public safety drone links,"Los Angeles CA (SPX) Dec 17, 2025


Globalstar (NASDAQ: GSAT) and Skydio have completed a joint technology trial that demonstrated Skydio X10 drone operations over Globalstar's licensed Band n53 spectrum and the company's XCOM RAN private 5G platform for public safety applications. 

The companies structured the trial to assess Band n53 and XCOM RAN as an alternative to Wi-Fi and public cellular networks for command, control,",SpaceDaily,2025-12-22T09:44:24Z,2025-12-22T08:40:10.920125Z,Spaceflight News API
34946,"Possible ""superkilonova"" exploded not once but twice","Pasadena CA (SPX) Dec 17, 2025


When the most massive stars reach the ends of their lives, they blow up in spectacular supernova explosions, which seed the universe with heavy elements such as carbon and iron. Another type of explosion - the kilonova - occurs when a pair of dense dead stars, called neutron stars, smash together, forging even heavier elements such as gold and uranium. Such heavy elements are among the basic bui",SpaceDaily,2025-12-22T09:44:24Z,2025-12-23T06:53:16.859201Z,Spaceflight News API
34955,Eutelsat Network Solutions to lead global rollout of Intellian OW7MP manpack SATCOM terminal,"Los Angeles CA (SPX) Dec 17, 2025


Eutelsat Network Solutions and Intellian Technologies have entered a strategic partnership under which Eutelsat Network Solutions will manage the global launch and availability of Intellian Technologies' OW7MP Manpack satellite communications user terminal on the Eutelsat OneWeb low Earth orbit network. 

Eutelsat Network Solutions is a wholly owned independent U.S. proxy company and subsidi",SpaceDaily,2025-12-22T09:44:24Z,2025-12-22T08:40:10.935041Z,Spaceflight News API
34956,PUNCH mission delivers sweeping new view of solar activity,"Los Angeles CA (SPX) Dec 17, 2025


After less than a year in orbit, NASA's Polarimeter to Unify the Corona and Heliosphere (PUNCH) mission, built and led by Southwest Research Institute, is returning wide-field images that place the Sun's activity in the broader context of the inner solar system while tracking comets and major space weather events as they move outward from the Sun. 

SwRI's Dr. Craig DeForest outlined the mis",SpaceDaily,2025-12-22T09:44:24Z,2025-12-23T06:56:33.065640Z,Spaceflight News API
34945,SpaceForest Advocates for a Permanent Launch Site in Poland,"Polish rocket builder SpaceForest is lobbying for the creation of a permanent launch site in the country to support at least three domestically developed suborbital launch vehicles. SpaceForest is developing a suborbital rocket called Perun, which it recently launched for the third time from Poland’s Central Air Force Test Range in Ustka. While the company […]
The post SpaceForest Advocates for a Permanent Launch Site in Poland appeared first on European Spaceflight.",European Spaceflight,2025-12-22T06:00:15Z,2025-12-22T06:10:12.495950Z,Spaceflight News API
34944,"NASA loses contact with MAVEN, Perseverance continues roving around Jezero","In early December, NASA lost contact with its MAVEN spacecraft, which has been orbiting Mars…
The post NASA loses contact with MAVEN, Perseverance continues roving around Jezero appeared first on NASASpaceFlight.com.",NASASpaceflight,2025-12-21T22:19:33Z,2025-12-22T07:03:56.041077Z,Spaceflight News API
34943,Isaacman emphasizes accelerating NASA programs as he takes agency’s reins,"
New NASA Administrator Jared Isaacman said he wants NASA to move faster on programs such as Artemis but acknowledged he needs time to get up to speed on NASA’s activities.
The post Isaacman emphasizes accelerating NASA programs as he takes agency’s reins appeared first on SpaceNews.",SpaceNews,2025-12-21T16:03:14Z,2025-12-21T16:10:18.631676Z,Spaceflight News API
34942,Rocket Lab wraps up record launch year,"Rocket Lab successfully launched a Japanese radar imaging satellite Dec. 21 in the final flight of a record-setting year for the company.
The post Rocket Lab wraps up record launch year appeared first on SpaceNews.",SpaceNews,2025-12-21T14:30:47Z,2025-12-21T17:06:37.378830Z,Spaceflight News API
34960,Year in images 2025,Year in images 2025,ESA,2025-12-21T11:05:00Z,2025-12-22T11:10:13.512688Z,Spaceflight News API
34941,"Astronauts, launch teams practice Artemis 2 countdown","The run-through simulated day-of-launch activities, included suit up, ingress into the Orion spacecraft and a countdown that stopped just shy of T-0.",Spaceflight Now,2025-12-21T00:15:32Z,2025-12-21T11:46:39.981217Z,Spaceflight News API
34940,NASA Meets New Administrator Jared Isaacman,"One day after being sworn in as NASA Administrator, Jared Isaacman held a Town Hall meeting with the NASA workforce to introduce himself and answer questions. He praised President Trump’s […]",SpacePolicyOnline.com,2025-12-20T22:47:56Z,2025-12-20T22:50:18.326526Z,Spaceflight News API
34939,Artemis II Crew Rehearse Launch Day Demonstration,"The four astronauts set to fly around the Moon during NASA’s Artemis II test flight depart the Neil A. Armstrong Operations and Checkout Building at the agency’s Kennedy Space Center in Florida, during a dress rehearsal for launch day on Dec. 20, 2025. From left are CSA (Canadian Space Agency) astronaut Jeremy Hansen NASA astronauts Victor Glover, Reid Wiseman, […]",NASA,2025-12-20T20:31:20Z,2025-12-21T11:46:52.175680Z,Spaceflight News API
34938,Blue Origin flies first wheelchair user to space,"Blue Origin flew its final New Shepard suborbital mission of the year Dec. 20, carrying six people, including the first person who uses a wheelchair to travel to space.
The post Blue Origin flies first wheelchair user to space appeared first on SpaceNews.",SpaceNews,2025-12-20T17:02:48Z,2025-12-21T11:47:03.821962Z,Spaceflight News API
34937,First Wheelchair User Flies to Space,"The first wheelchair user flew into space today on Blue Origin’s New Shepard rocket. Michi Benthaus, who was injured in a mountain biking accident in 2018, achieved her dream of […]",SpacePolicyOnline.com,2025-12-20T15:45:19Z,2025-12-21T11:47:46.783386Z,Spaceflight News API
34936,Redwire Tapped to Provide Docking Mechanisms for Nyx Earth Capsule,"The Exploration Company has awarded Redwire a contract to provide two International Berthing and Docking Mechanisms (IBDM) for its Nyx cargo spacecraft. Developed by QinetiQ Space under a European Space Agency contract awarded in 2014, the International Berthing and Docking Mechanism was designed as a standardised interface to support docking and berthing for the next […]
The post Redwire Tapped to Provide Docking Mechanisms for Nyx Earth Capsule appeared first on European Spaceflight.",European Spaceflight,2025-12-20T05:00:36Z,2025-12-20T05:10:14.108073Z,Spaceflight News API
34935,Wind-Sculpted Landscapes: Investigating the Martian Megaripple ‘Hazyview’,"Written by Noah Martin, Ph.D. student and Candice Bedford, Research Scientist at Purdue University While much of Perseverance’s work focuses on ancient rocks that record Mars’ long-lost rivers and lakes, megaripples offer a rare opportunity to examine processes that are still shaping the surface today. Megaripples are sand ripples up to 2 meters (about 6.5 […]",NASA,2025-12-20T01:19:24Z,2025-12-20T02:10:07.119485Z,Spaceflight News API
34934,Space Development Agency awards roughly $3.5 billion to 4 companies for 72 missile tracking and warning satellites,"This batch of satellites will populate what the SDA calls the Tracking Layer of its Proliferated Warfighter Space Architecture (PWSA) constellation in low Earth orbit. The work will be divided evenly, with each company building 18 spacecraft. ",Spaceflight Now,2025-12-20T01:16:26Z,2025-12-20T01:20:23.581086Z,Spaceflight News API
34933,NASA safety panel recommends review of Artemis plans,"
NASA’s safety advisers are recommending that the agency reconsider its Artemis lunar landing architecture as well as how it handles incidents such as the flawed Starliner test flight.
The post NASA safety panel recommends review of Artemis plans appeared first on SpaceNews.",SpaceNews,2025-12-19T23:53:46Z,2025-12-20T00:00:42.335573Z,Spaceflight News API
34932,Meet NASA’s Astronaut Class of 2025 – Webby Submission,"NASA engineers are laying the foundation for the moonwalks the first woman and next man will conduct when they land on the lunar South Pole in 2024 as part of the Artemis program. At the agency’s Johnson Space Center in Houston, teams are testing the tools and developing training approaches for lunar surface operations. As part of […]",NASA,2025-12-19T22:01:06Z,2025-12-19T22:10:24.471559Z,Spaceflight News API
34930,Space Development Agency awards $3.5 billion in contracts for missile-tracking satellites,"
L3Harris, Lockheed Martin, Rocket Lab and Northrop Grumman won contracts to build 72 satellites
The post Space Development Agency awards $3.5 billion in contracts for missile-tracking satellites appeared first on SpaceNews.",SpaceNews,2025-12-19T20:59:50Z,2025-12-19T21:00:46.148480Z,Spaceflight News API
34931,Hungary’s 4iG commits to $100 million Axiom Space investment,"
Hungarian communications provider 4iG has agreed to invest $100 million in U.S.-based space station developer Axiom Space, broadening its footprint in the space industry amid a broader push toward vertically integrated capabilities in the industry.
The post Hungary’s 4iG commits to $100 million Axiom Space investment appeared first on SpaceNews.",SpaceNews,2025-12-19T20:59:39Z,2025-12-19T21:00:46.224001Z,Spaceflight News API
34929,NASA Shares SpaceX Crew-12 Assignments for Space Station Mission,"As part of NASA’s SpaceX Crew-12 mission, four crew members from three space agencies will launch no earlier than Sunday, Feb. 15, 2026, to the International Space Station for a long-duration science expedition. NASA astronauts Jessica Meir and Jack Hathaway will serve as spacecraft commander and pilot, respectively, and will be accompanied by ESA (European […]",NASA,2025-12-19T20:21:53Z,2025-12-20T08:34:20.481523Z,Spaceflight News API
34927,NASA Johnson’s 2025 Milestones,"NASA’s Johnson Space Center in Houston closed 2025 with major progress across human spaceflight, research, and exploration. From Artemis II mission preparations to science aboard the International Space Station, teams at Johnson helped prepare for future missions to the Moon and, ultimately, Mars. Orion Stacked for Artemis II, Orion Mission Evaluation Room Unveiled  As NASA […]",NASA,2025-12-19T19:59:20Z,2025-12-19T20:00:11.994241Z,Spaceflight News API
34928,NASA’s Wideband Technology Demo Proves Space Missions are Free to Roam,"Just like your cellphone stays connected by roaming between networks, NASA’s Polylingual Experimental Terminal, or PExT, technology demonstration is proving space missions can do the same by switching seamlessly between government and commercial communications networks.",NASA,2025-12-19T19:57:34Z,2025-12-19T20:00:12.079891Z,Spaceflight News API
34926,ESA weighing options to address exploration funding shortfall,"
The European Space Agency expects to decide in February how to address a 20% funding shortfall in its exploration program.
The post ESA weighing options to address exploration funding shortfall appeared first on SpaceNews.",SpaceNews,2025-12-19T18:36:48Z,2025-12-19T18:50:57.340120Z,Spaceflight News API
